"merchant","industry","first_charge_date","country","business_size"
"13314398","Software","2033-10-12 00:00:00+00:00","GB","small"
"7af5c9b4","Software","2033-10-14 00:00:00+00:00","US","small"
"3361dde8","Software","2034-01-31 00:00:00+00:00","DE","small"
"5dc3762d","Software","2033-12-03 00:00:00+00:00","US","small"
"83d93185","Digital goods","2033-10-30 00:00:00+00:00","US","small"
"91cfffc2","Software","2033-11-27 00:00:00+00:00","IE","small"
"3a1da47c","Software","2033-11-13 00:00:00+00:00","US","small"
"c3563825","Grocery & food stores","2033-11-27 00:00:00+00:00","US","small"
"dfb75031","Clothing & accessory","2033-11-22 00:00:00+00:00","CA","small"
"161ea9da","Business services","2033-12-04 00:00:00+00:00","US","small"
"4a3a73be","Software","2035-04-29 00:00:00+00:00","CA","small"
"706816ed","Religion, politics & other memberships","2033-12-06 00:00:00+00:00","US","small"
"5ddc6c7d","Software","2033-12-30 00:00:00+00:00","US","small"
"dba4150f","Personal services","2039-09-11 00:00:00+00:00","US","small"
"4498aedc","Others","2034-06-12 00:00:00+00:00","US","small"
"1ad16459","Software","2034-01-27 00:00:00+00:00","CA","small"
"1764180c","Software","2034-01-06 00:00:00+00:00","US","small"
"3a5a0e99","Leisure","2034-01-10 00:00:00+00:00","US","small"
"c729c999","Food & drink","2035-02-19 00:00:00+00:00","GB","small"
"388b71d9","Software","2034-02-12 00:00:00+00:00","CA","medium"
"40595b3f","Software","2034-01-30 00:00:00+00:00","US","small"
"7296df3c","Others","2034-02-02 00:00:00+00:00","GB","small"
"1c9f2c67","Software","2034-06-04 00:00:00+00:00","US","large"
"b646533b","Software","2034-02-05 00:00:00+00:00","US","medium"
"62bd6600","Software","2034-02-23 00:00:00+00:00","US","small"
"60ddca2f","Charity","2034-04-02 00:00:00+00:00","US","small"
"37cd1813","Religion, politics & other memberships","2034-07-17 00:00:00+00:00","AU","small"
"54995cc1","Others","2034-02-21 00:00:00+00:00","US","small"
"d2513075","Leisure","2034-04-02 00:00:00+00:00","DE","small"
"c141dd9b","Software","2035-07-01 00:00:00+00:00","AU","small"
"fa9abdec","Clothing & accessory","2034-03-16 00:00:00+00:00","US","small"
"f34599df","Education","2034-07-15 00:00:00+00:00","US","small"
"8c73a284","Business services","2041-01-26 00:00:00+00:00","CY","small"
"36171ac2","Grocery & food stores","2034-04-11 00:00:00+00:00","GB","small"
"f831f160","Software","2034-04-16 00:00:00+00:00","US","small"
"ba219501","Software","2034-04-04 00:00:00+00:00","BE","small"
"9ceeb362","Software","2034-03-14 00:00:00+00:00","GB","small"
"8b09fd9c","Automotive parts and repair/service shops","2034-03-26 00:00:00+00:00","US","medium"
"e623b224","Software","2034-06-12 00:00:00+00:00","US","small"
"6b4287ea","Personal services","2034-05-07 00:00:00+00:00","GB","small"
"9193ec36","Charity","2034-04-28 00:00:00+00:00","US","small"
"f17d1721","Software","2034-03-21 00:00:00+00:00","US","small"
"cd7b9dc4","Others","2034-03-31 00:00:00+00:00","US","small"
"d7f84f37","Others","2034-03-29 00:00:00+00:00","CA","small"
"9879a7d6","Leisure","2035-01-02 00:00:00+00:00","US","small"
"a4df1c10","Others","2034-08-05 00:00:00+00:00","US","medium"
"5569c032","Software","2034-05-15 00:00:00+00:00","US","small"
"49903842","Others","2034-06-12 00:00:00+00:00","IE","small"
"0c1e4890","Education","2034-05-11 00:00:00+00:00","US","medium"
"caae4f9f","Charity","2034-05-07 00:00:00+00:00","US","small"
"db987ab5","Others","2034-05-07 00:00:00+00:00","US","small"
"0f8897f0","Education","2034-09-11 00:00:00+00:00","US","small"
"11d58c21","Religion, politics & other memberships","2034-04-28 00:00:00+00:00","AU","small"
"b83cac33","Software","2034-04-23 00:00:00+00:00","US","small"
"f510e330","Software","2034-09-04 00:00:00+00:00","US","small"
"4b59361f","Software","2035-08-20 00:00:00+00:00","US","small"
"185a2b4e","Software","2034-04-28 00:00:00+00:00","US","small"
"b39802fa","Business services","2034-05-06 00:00:00+00:00","US","small"
"236cb435","Others","2034-11-03 00:00:00+00:00","US","small"
"a7b0a838","Others","2034-09-05 00:00:00+00:00","CA","small"
"10e89ece","Software","2034-07-01 00:00:00+00:00","US","small"
"429a5bd7","Business services","2034-07-26 00:00:00+00:00","US","small"
"3b5c8e8f","Business services","2034-06-05 00:00:00+00:00","US","small"
"6e3bb539","Education","2034-06-26 00:00:00+00:00","GB","small"
"ca26facb","Education","2034-06-02 00:00:00+00:00","AU","small"
"8a9ac2cf","Software","2034-07-08 00:00:00+00:00","US","small"
"3b6cf04f","Digital goods","2035-06-04 00:00:00+00:00","US","small"
"d8dc9df2","Software","2034-07-08 00:00:00+00:00","US","small"
"e07bd177","Business services","2034-09-04 00:00:00+00:00","US","small"
"2c912d2a","Others","2034-06-08 00:00:00+00:00","US","small"
"0e57c708","Business services","2034-07-14 00:00:00+00:00","US","small"
"80066f72","Software","2034-06-05 00:00:00+00:00","IE","small"
"e52b27ce","Software","2034-07-30 00:00:00+00:00","US","medium"
"f2eefc2c","Software","2034-07-29 00:00:00+00:00","US","small"
"8cbbdef2","Religion, politics & other memberships","2034-10-24 00:00:00+00:00","US","small"
"0de5b7bd","Personal services","2038-01-02 00:00:00+00:00","US","small"
"b14eced7","Construction","2034-06-17 00:00:00+00:00","US","small"
"6415b04f","Electronics","2034-06-18 00:00:00+00:00","US","small"
"b2f142f3","Software","2034-07-08 00:00:00+00:00","US","small"
"4b3b5fc1","Merchandise","2035-07-01 00:00:00+00:00","ES","small"
"fe5a2bc1","Others","2034-06-26 00:00:00+00:00","IT","medium"
"4caa0e0f","Business services","2034-07-28 00:00:00+00:00","US","medium"
"ee99c80d","Digital goods","2033-03-07 00:00:00+00:00","US","small"
"bda9b948","Digital goods","2033-01-30 00:00:00+00:00","US","small"
"18dc1f7b","Software","2033-02-06 00:00:00+00:00","US","small"
"57563ccd","Software","2034-09-10 00:00:00+00:00","FR","small"
"8b68903a","Business services","2034-09-22 00:00:00+00:00","US","small"
"b24e59ad","Business services","2035-04-22 00:00:00+00:00","AU","large"
"7c3b8970","Software","2034-07-23 00:00:00+00:00","AU","small"
"9cd291ef","Food & drink","2037-01-04 00:00:00+00:00","GB","small"
"1d2bb9da","Software","2035-04-10 00:00:00+00:00","US","small"
"6743651b","Business services","2039-08-08 00:00:00+00:00","US","medium"
"013c05f5","Software","2034-09-26 00:00:00+00:00","US","small"
"9c81fcb5","Business services","2034-08-05 00:00:00+00:00","US","small"
"27b5541b","Personal services","2036-01-28 00:00:00+00:00","US","small"
"c3378c62","Others","2034-07-30 00:00:00+00:00","US","small"
"001f41bc","Business services","2034-11-26 00:00:00+00:00","CA","small"
"7b03bac3","Digital goods","2035-01-31 00:00:00+00:00","GB","small"
"b3d7c712","Art & photography","2034-09-08 00:00:00+00:00","US","small"
"39a07f66","Travel & lodging","2036-02-08 00:00:00+00:00","SE","small"
"e8ff0c97","Software","2034-08-05 00:00:00+00:00","GB","small"
"56860d6e","Software","2034-08-12 00:00:00+00:00","GB","small"
"f534ea7a","Business services","2034-09-05 00:00:00+00:00","US","small"
"988b726f","Software","2034-08-14 00:00:00+00:00","CH","small"
"d58bfdbe","Others","2034-09-15 00:00:00+00:00","FR","small"
"5357c2b4","Software","2034-09-04 00:00:00+00:00","US","small"
"6ad6cc59","Specialty retail","2034-09-04 00:00:00+00:00","CA","small"
"496953b4","Ticketing & events","2035-01-19 00:00:00+00:00","GB","medium"
"137ba7d6","Software","2034-09-22 00:00:00+00:00","US","small"
"01fe6fe3","Business services","2034-09-11 00:00:00+00:00","US","medium"
"b4b8d70e","Leisure","2034-09-10 00:00:00+00:00","GB","small"
"826b6b83","Software","2034-09-18 00:00:00+00:00","US","small"
"f916c159","Ticketing & events","2034-10-21 00:00:00+00:00","US","small"
"a3d1dd19","Software","2034-10-29 00:00:00+00:00","US","small"
"435432ef","Charity","2034-10-23 00:00:00+00:00","CA","small"
"54243875","Software","2034-09-29 00:00:00+00:00","CH","small"
"5bef0fd7","Software","2035-01-20 00:00:00+00:00","US","small"
"aed29620","Grocery & food stores","2034-10-09 00:00:00+00:00","US","small"
"627fd2ec","Ticketing & events","2035-01-27 00:00:00+00:00","IE","small"
"a1483740","Charity","2034-09-30 00:00:00+00:00","US","small"
"17db3b82","Specialty retail","2034-10-13 00:00:00+00:00","DK","small"
"efd5895e","Education","2035-03-30 00:00:00+00:00","US","small"
"cebc2fe1","Software","2035-02-03 00:00:00+00:00","NO","small"
"7c10cca5","Charity","2035-01-16 00:00:00+00:00","US","small"
"1538ebb4","Specialty retail","2035-01-03 00:00:00+00:00","US","small"
"a889ad03","Religion, politics & other memberships","2035-04-07 00:00:00+00:00","CA","small"
"1c6796d1","Business services","2034-10-22 00:00:00+00:00","US","small"
"b4f81fe8","Grocery & food stores","2034-10-17 00:00:00+00:00","US","small"
"47cb0f02","Clothing & accessory","2034-11-12 00:00:00+00:00","US","small"
"424b6690","Software","2034-11-13 00:00:00+00:00","US","small"
"448fee6e","Software","2035-01-29 00:00:00+00:00","US","small"
"c6987d18","Electronics","2035-03-24 00:00:00+00:00","US","small"
"7a94e5a6","Software","2036-12-19 00:00:00+00:00","AT","small"
"8b607096","Clothing & accessory","2036-03-04 00:00:00+00:00","IE","small"
"04db2c20","Ticketing & events","2034-11-12 00:00:00+00:00","AU","small"
"2d0800d4","Medical services, drugs, testing labs & equipment medium","2035-06-19 00:00:00+00:00","US","medium"
"2.72E+98","Clothing & accessory","2034-11-15 00:00:00+00:00","US","small"
"6d2a8fcf","Business services","2035-06-08 00:00:00+00:00","US","small"
"9a17ccf1","Personal services","2036-02-23 00:00:00+00:00","US","small"
"e353139c","Digital goods","2035-01-01 00:00:00+00:00","GB","small"
"fe700d7c","Healthcare","2034-11-20 00:00:00+00:00","US","medium"
"76b48cb0","Personal services","2035-01-09 00:00:00+00:00","AU","small"
"6d0decd6","Software","2034-11-18 00:00:00+00:00","US","small"
"fd75b967","Merchandise","2035-02-11 00:00:00+00:00","AU","small"
"acaef14e","Education","2034-12-02 00:00:00+00:00","GB","small"
"4f4669ad","Software","2034-12-02 00:00:00+00:00","US","small"
"4c8aae17","Religion, politics & other memberships","2035-01-05 00:00:00+00:00","US","small"
"3e8a5aba","Business services","2035-01-16 00:00:00+00:00","US","small"
"9f819371","Art & photography","2034-12-04 00:00:00+00:00","US","small"
"3925fb90","Software","2035-01-08 00:00:00+00:00","US","small"
"fc9af9b2","Software","2035-01-07 00:00:00+00:00","US","small"
"97873938","Business services","2035-04-29 00:00:00+00:00","CA","small"
"70723d26","Business services","2035-01-14 00:00:00+00:00","IE","small"
"7304df43","Religion, politics & other memberships","2035-01-01 00:00:00+00:00","AU","small"
"3e8711b0","Software","2035-02-27 00:00:00+00:00","US","small"
"0c651e0f","Software","2035-07-16 00:00:00+00:00","AT","small"
"7f41705d","Digital goods","2040-04-15 00:00:00+00:00","GB","small"
"e64d2f9b","Grocery & food stores","2035-01-12 00:00:00+00:00","US","small"
"de3c120b","Software","2035-10-01 00:00:00+00:00","US","small"
"0304f11f","Business services","2035-01-28 00:00:00+00:00","US","small"
"9b2ae10a","Others","2035-11-18 00:00:00+00:00","SE","small"
"9c7b1d0b","Personal services","2040-06-12 00:00:00+00:00","CA","small"
"af8a49b4","Software","2035-03-30 00:00:00+00:00","US","small"
"6c735966","Others","2033-03-05 00:00:00+00:00","US","small"
"56c2e022","Leisure","2035-02-12 00:00:00+00:00","US","small"
"bd590181","Education","2035-03-25 00:00:00+00:00","US","small"
"35b28bc4","Religion, politics & other memberships","2035-03-19 00:00:00+00:00","US","small"
"9bc49800","Software","2035-03-23 00:00:00+00:00","GB","small"
"590b927b","Business services","2035-02-22 00:00:00+00:00","US","small"
"8798bfc4","Art & photography","2035-02-23 00:00:00+00:00","NO","small"
"aee4309e","Software","2038-09-13 00:00:00+00:00","US","small"
"e2d1f662","Software","2035-05-06 00:00:00+00:00","US","small"
"dfe90df2","Software","2035-04-22 00:00:00+00:00","CA","small"
"3c9f040a","Software","2035-07-14 00:00:00+00:00","US","medium"
"1280d693","Digital goods","2035-08-02 00:00:00+00:00","US","small"
"0acdb70a","Grocery & food stores","2035-05-07 00:00:00+00:00","DK","small"
"9118b2f6","Business services","2035-10-08 00:00:00+00:00","US","small"
"e9907cc3","Ticketing & events","2035-11-20 00:00:00+00:00","US","small"
"0b660247","Business services","2035-05-31 00:00:00+00:00","US","medium"
"2534071d","Personal services","2035-03-11 00:00:00+00:00","CH","small"
"cac0de70","Education","2035-05-13 00:00:00+00:00","US","small"
"20e6eedc","Specialty retail","2035-03-26 00:00:00+00:00","US","small"
"46aa62ac","Education","2035-06-22 00:00:00+00:00","DE","small"
"5b5f2325","Business services","2035-03-28 00:00:00+00:00","US","small"
"7dd355ea","Religion, politics & other memberships","2035-03-22 00:00:00+00:00","US","small"
"72b8d515","Software","2033-03-15 00:00:00+00:00","US","small"
"f33b369f","Software","2035-05-15 00:00:00+00:00","GB","small"
"1f785560","Others","2035-08-11 00:00:00+00:00","GB","medium"
"2c0f3235","Religion, politics & other memberships","2035-05-06 00:00:00+00:00","CA","small"
"92fb14e1","Charity","2039-01-13 00:00:00+00:00","US","small"
"305aa804","Software","2035-06-08 00:00:00+00:00","US","small"
"50e356e2","Others","2035-05-20 00:00:00+00:00","US","small"
"f20b4460","Software","2035-04-13 00:00:00+00:00","US","small"
"dc29e911","Leisure","2035-04-11 00:00:00+00:00","US","small"
"9d9aa1d4","Grocery & food stores","2036-08-22 00:00:00+00:00","AU","small"
"3c6b8aaa","Others","2036-01-14 00:00:00+00:00","GB","small"
"a8f43db2","Personal services","2036-04-12 00:00:00+00:00","GB","small"
"cb9969f5","Construction","2035-07-13 00:00:00+00:00","US","small"
"4e180207","Business services","2035-05-06 00:00:00+00:00","US","small"
"f2708077","Software","2035-06-26 00:00:00+00:00","CA","small"
"9ed67fee","Ticketing & events","2035-06-24 00:00:00+00:00","US","small"
"4eafd1de","Personal services","2036-04-23 00:00:00+00:00","US","small"
"e2066445","Charity","2035-07-10 00:00:00+00:00","US","small"
"db9aa1f2","Food & drink","2035-06-21 00:00:00+00:00","US","small"
"6139f9cf","Merchandise","2035-07-13 00:00:00+00:00","US","small"
"e598ae87","Digital goods","2035-06-18 00:00:00+00:00","US","small"
"07c0aae9","Digital goods","2035-06-16 00:00:00+00:00","US","small"
"7ac6b669","Education","2035-09-08 00:00:00+00:00","FR","small"
"a7da2e1d","Business services","2035-06-01 00:00:00+00:00","US","small"
"b89ce8ca","Clothing & accessory","2040-03-02 00:00:00+00:00","NZ","small"
"56511940","Business services","2035-05-30 00:00:00+00:00","US","small"
"d5c0da75","Software","2035-10-05 00:00:00+00:00","US","medium"
"24fad3b2","Digital goods","2036-05-03 00:00:00+00:00","US","small"
"7485322b","Ticketing & events","2039-09-24 00:00:00+00:00","AU","small"
"7975bdad","Travel & lodging","2037-01-18 00:00:00+00:00","ES","small"
"4f29b6f4","Personal services","2035-06-17 00:00:00+00:00","LU","small"
"6ddfbf73","Charity","2035-06-24 00:00:00+00:00","US","small"
"21d596b9","Grocery & food stores","2036-11-01 00:00:00+00:00","US","small"
"2b5a0c54","Digital goods","2037-04-28 00:00:00+00:00","GB","small"
"94a80caf","Medical services, drugs, testing labs & equipment medium","2035-06-25 00:00:00+00:00","US","small"
"7f9f4169","Merchandise","2035-07-04 00:00:00+00:00","US","small"
"7e76aa4d","Leisure","2035-07-16 00:00:00+00:00","US","small"
"7d13c1d0","Software","2035-07-10 00:00:00+00:00","US","small"
"9b64924d","Travel & lodging","2035-07-01 00:00:00+00:00","US","small"
"d9789f0d","Religion, politics & other memberships","2035-08-17 00:00:00+00:00","US","small"
"cb0e95a4","Education","2035-10-07 00:00:00+00:00","US","small"
"1c52b135","Medical services, drugs, testing labs & equipment medium","2035-08-06 00:00:00+00:00","AU","medium"
"ed6fe9ba","Software","2035-08-12 00:00:00+00:00","US","small"
"3af6c121","Software","2035-10-08 00:00:00+00:00","FR","small"
"e805b582","Personal services","2035-08-23 00:00:00+00:00","AU","small"
"9fc0b72c","Merchandise","2035-11-21 00:00:00+00:00","US","small"
"a3bab617","Cosmetics","2036-08-11 00:00:00+00:00","CA","medium"
"ed00d6eb","Automotive parts and repair/service shops","2036-08-05 00:00:00+00:00","US","small"
"f807394a","Others","2035-07-09 00:00:00+00:00","GB","small"
"e41efb0f","Software","2036-06-14 00:00:00+00:00","US","medium"
"23fe19eb","Business services","2035-07-21 00:00:00+00:00","US","small"
"9431067a","Software","2036-05-18 00:00:00+00:00","US","small"
"bdc8131f","Personal services","2035-09-14 00:00:00+00:00","GB","small"
"6cef24b7","Digital goods","2036-08-17 00:00:00+00:00","US","small"
"dd12f338","Medical services, drugs, testing labs & equipment medium","2035-08-16 00:00:00+00:00","US","small"
"c6f17e01","Others","2035-07-20 00:00:00+00:00","ES","small"
"7adad245","Software","2036-12-15 00:00:00+00:00","AU","small"
"a9b26182","Grocery & food stores","2035-08-21 00:00:00+00:00","CA","small"
"2cc52cbd","Merchandise","2035-08-10 00:00:00+00:00","US","small"
"68e50a9a","Business services","2036-07-27 00:00:00+00:00","US","small"
"454f71b0","Clothing & accessory","2035-09-11 00:00:00+00:00","AU","small"
"3ebc187a","Religion, politics & other memberships","2040-01-01 00:00:00+00:00","US","small"
"e2ec67cd","Software","2036-05-06 00:00:00+00:00","US","small"
"2ecbb8d6","Others","2036-11-22 00:00:00+00:00","US","small"
"13a1691c","Software","2039-06-05 00:00:00+00:00","US","small"
"4cfa5ccc","Merchandise","2035-08-13 00:00:00+00:00","IE","small"
"0a56cbc4","Cosmetics","2037-01-22 00:00:00+00:00","AU","small"
"ccbeae7a","Business services","2036-03-31 00:00:00+00:00","US","small"
"005592c1","Software","2036-01-28 00:00:00+00:00","JP","small"
"195c02dd","Others","2035-10-20 00:00:00+00:00","US","small"
"6d54499b","Software","2035-10-02 00:00:00+00:00","US","small"
"bd35113d","Business services","2035-09-03 00:00:00+00:00","US","small"
"861912b1","Cosmetics","2040-03-02 00:00:00+00:00","CZ","small"
"cdd18fc7","Leisure","2035-09-09 00:00:00+00:00","US","small"
"cbca04de","Software","2035-11-24 00:00:00+00:00","IE","small"
"8782d92e","Software","2035-12-02 00:00:00+00:00","NO","small"
"a170a98e","Furnishing","2035-09-23 00:00:00+00:00","GB","small"
"704312c0","Personal services","2036-07-15 00:00:00+00:00","US","small"
"07b73f16","Software","2035-10-19 00:00:00+00:00","GB","small"
"a6f7cdf9","Digital goods","2035-10-01 00:00:00+00:00","GB","small"
"60de31af","Education","2036-02-20 00:00:00+00:00","US","small"
"6216d367","Others","2035-11-04 00:00:00+00:00","GB","small"
"cc5ab147","Software","2035-09-22 00:00:00+00:00","ES","small"
"342bb56b","Travel & lodging","2035-11-13 00:00:00+00:00","GB","small"
"c92ae5f1","Business services","2035-09-29 00:00:00+00:00","US","medium"
"e821d853","Art & photography","2041-01-01 00:00:00+00:00","US","small"
"6c5b4161","Others","2036-12-08 00:00:00+00:00","GB","small"
"322f1cb8","Education","2036-02-05 00:00:00+00:00","US","large"
"697292ee","Business services","2035-10-27 00:00:00+00:00","US","small"
"6.91E+87","Others","2035-10-20 00:00:00+00:00","GB","small"
"93bb4519","Software","2035-10-26 00:00:00+00:00","US","small"
"d3efe847","Software","2035-11-09 00:00:00+00:00","AU","small"
"2ec7bd36","Software","2035-10-19 00:00:00+00:00","MX","medium"
"ff351f75","Digital goods","2035-10-29 00:00:00+00:00","FR","small"
"cec0d1e1","Others","2035-11-12 00:00:00+00:00","FR","small"
"286c4d54","Medical services, drugs, testing labs & equipment medium","2036-01-24 00:00:00+00:00","GB","small"
"48f05ad9","Personal services","2035-10-22 00:00:00+00:00","US","small"
"84b385fb","Software","2035-10-27 00:00:00+00:00","FR","small"
"c3466e11","Merchandise","2035-11-27 00:00:00+00:00","IE","small"
"4683136a","Software","2036-02-13 00:00:00+00:00","BR","small"
"301d6d22","Education","2038-01-11 00:00:00+00:00","US","medium"
"57440d28","Business services","2036-01-21 00:00:00+00:00","US","small"
"b0385074","Religion, politics & other memberships","2036-02-17 00:00:00+00:00","US","small"
"2969128f","Software","2038-08-29 00:00:00+00:00","AU","medium"
"a5be8120","Software","2035-11-10 00:00:00+00:00","GB","small"
"77fe0930","Education","2035-12-28 00:00:00+00:00","AU","small"
"56571c43","Software","2035-11-16 00:00:00+00:00","US","small"
"a328a8aa","Religion, politics & other memberships","2035-11-16 00:00:00+00:00","AU","small"
"08e0952e","Charity","2035-12-07 00:00:00+00:00","US","small"
"0a0bb57e","Business services","2036-02-10 00:00:00+00:00","US","small"
"f179d8ec","Automotive parts and repair/service shops","2035-11-20 00:00:00+00:00","CA","small"
"1996a110","Others","2036-03-26 00:00:00+00:00","GB","small"
"b8c47b73","Business services","2035-11-28 00:00:00+00:00","GB","small"
"46466fe5","Education","2036-03-03 00:00:00+00:00","US","small"
"e35ba6a6","Healthcare","2035-12-11 00:00:00+00:00","AU","small"
"79faf438","Software","2035-12-16 00:00:00+00:00","US","medium"
"654eb634","Others","2035-12-03 00:00:00+00:00","GB","small"
"a149a231","Automotive parts and repair/service shops","2035-12-09 00:00:00+00:00","GB","small"
"c832a43c","Travel & lodging","2035-12-08 00:00:00+00:00","US","small"
"bce32c8b","Education","2035-12-23 00:00:00+00:00","US","small"
"f36bde83","Business services","2036-08-10 00:00:00+00:00","US","small"
"fb96bdb2","Digital goods","2036-03-04 00:00:00+00:00","CA","small"
"9823ea30","Education","2036-01-28 00:00:00+00:00","US","small"
"c1b0c93e","Business services","2036-03-02 00:00:00+00:00","AU","small"
"3e114f6b","Religion, politics & other memberships","2036-01-05 00:00:00+00:00","US","small"
"9a2a19b2","Personal services","2036-11-07 00:00:00+00:00","US","small"
"11306485","Education","2039-02-06 00:00:00+00:00","GB","small"
"95d4bfcf","Clothing & accessory","2036-02-15 00:00:00+00:00","SE","small"
"ff551fd3","Software","2035-12-30 00:00:00+00:00","US","small"
"25c1eb85","Software","2036-02-01 00:00:00+00:00","FR","small"
"4953921b","Grocery & food stores","2036-01-10 00:00:00+00:00","US","small"
"740079ae","Software","2036-01-08 00:00:00+00:00","US","small"
"a3b3682e","Clothing & accessory","2036-01-21 00:00:00+00:00","US","small"
"7ffd5356","Software","2036-07-13 00:00:00+00:00","US","medium"
"f6134b9d","Others","2036-02-03 00:00:00+00:00","US","small"
"314a941f","Digital goods","2037-03-22 00:00:00+00:00","US","small"
"59a29bb9","Business services","2036-01-20 00:00:00+00:00","US","small"
"c4e71084","Business services","2036-01-29 00:00:00+00:00","US","small"
"c2f9a71c","Religion, politics & other memberships","2036-01-29 00:00:00+00:00","AU","medium"
"5a95eb87","Specialty retail","2036-01-26 00:00:00+00:00","US","small"
"059138c6","Religion, politics & other memberships","2036-02-02 00:00:00+00:00","IE","small"
"94f48f38","Clothing & accessory","2036-03-31 00:00:00+00:00","FR","small"
"a9665cee","Business services","2036-04-26 00:00:00+00:00","US","medium"
"5d431815","Grocery & food stores","2036-04-18 00:00:00+00:00","CA","small"
"5a96c130","Education","2036-03-22 00:00:00+00:00","US","small"
"328ba012","Specialty retail","2036-02-02 00:00:00+00:00","GB","small"
"44f3fce3","Merchandise","2036-05-13 00:00:00+00:00","US","small"
"9fc09b96","Software","2036-05-10 00:00:00+00:00","US","small"
"72304d72","Business services","2036-06-24 00:00:00+00:00","US","small"
"b599c247","Software","2036-03-02 00:00:00+00:00","CA","small"
"7de531ea","Digital goods","2036-03-14 00:00:00+00:00","IE","small"
"70c108dc","Merchandise","2036-06-02 00:00:00+00:00","US","small"
"b004a131","Art & photography","2036-08-05 00:00:00+00:00","US","small"
"20245c27","Software","2036-02-06 00:00:00+00:00","US","small"
"c8160bdf","Software","2037-02-23 00:00:00+00:00","US","small"
"cb4f7c46","Others","2036-02-09 00:00:00+00:00","US","small"
"dedd3854","Software","2036-02-20 00:00:00+00:00","AU","small"
"3d9b4c9d","Rentals","2036-04-13 00:00:00+00:00","US","small"
"5f6d50e1","Business services","2036-09-02 00:00:00+00:00","US","small"
"7a151c60","Software","2036-02-21 00:00:00+00:00","US","small"
"0eb27101","Others","2036-02-24 00:00:00+00:00","US","small"
"255826fd","Grocery & food stores","2036-02-23 00:00:00+00:00","NO","small"
"b88498da","Religion, politics & other memberships","2036-03-01 00:00:00+00:00","CA","small"
"bb4372e3","Clothing & accessory","2036-06-24 00:00:00+00:00","US","small"
"80cf1b7a","Software","2036-03-02 00:00:00+00:00","US","medium"
"5bf690c7","Business services","2036-03-02 00:00:00+00:00","DE","small"
"51d789a5","Furnishing","2036-03-29 00:00:00+00:00","DE","small"
"e52942b0","Software","2037-06-16 00:00:00+00:00","US","small"
"0d753d5f","Digital goods","2036-08-05 00:00:00+00:00","US","small"
"773cbe10","Personal services","2036-03-14 00:00:00+00:00","IT","small"
"db0b1703","Software","2037-04-08 00:00:00+00:00","FR","small"
"54dbcd1a","Education","2036-08-17 00:00:00+00:00","US","small"
"4.30E+227","Food & drink","2036-06-17 00:00:00+00:00","US","medium"
"545d4416","Religion, politics & other memberships","2036-04-15 00:00:00+00:00","US","small"
"8b721d77","Merchandise","2036-05-16 00:00:00+00:00","IE","small"
"7cb0e41f","Charity","2036-03-14 00:00:00+00:00","US","small"
"42f96a3e","Religion, politics & other memberships","2036-03-17 00:00:00+00:00","GB","small"
"4825c742","Religion, politics & other memberships","2036-03-24 00:00:00+00:00","US","small"
